canal,cuentas
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,206
14,197
15,194
16,202
17,209
18,209
19,219
20,216
21,225
22,179
23,198
24,218
25,189
26,179
27,198
28,209
29,245
30,238
31,201
32,224
33,223
34,233
35,225
36,280
37,242
38,249
39,244
40,272
41,285
42,290
43,345
44,363
45,400
46,442
47,514
48,583
49,728
50,792
51,785
52,818
53,797
54,782
55,704
56,595
57,555
58,509
59,470
60,442
61,452
62,422
63,378
64,391
65,446
66,419
67,416
68,446
69,478
70,499
71,564
72,529
73,544
74,579
75,579
76,607
77,642
78,698
79,644
80,668
81,732
82,741
83,815
84,834
85,835
86,861
87,938
88,858
89,944
90,971
91,1014
92,1043
93,1073
94,1042
95,1111
96,1135
97,1148
98,1133
99,1181
100,1204
101,1211
102,1266
103,1311
104,1229
105,1281
106,1279
107,1380
108,1368
109,1333
110,1341
111,1340
112,1321
113,1392
114,1395
115,1291
116,1336
117,1361
118,1256
119,1275
120,1338
121,1366
122,1260
123,1333
124,1293
125,1287
126,1253
127,1312
128,1284
129,1299
130,1237
131,1304
132,1234
133,1296
134,1184
135,1296
136,1219
137,1199
138,1173
139,1228
140,1181
141,1200
142,1170
143,1270
144,1171
145,1165
146,1171
147,1147
148,1116
149,1152
150,1222
151,1171
152,1188
153,1147
154,1153
155,1131
156,1153
157,1115
158,1140
159,1106
160,1065
161,1083
162,1073
163,1025
164,1052
165,1075
166,1113
167,1052
168,1085
169,1133
170,1026
171,1047
172,1002
173,1021
174,1037
175,988
176,987
177,988
178,996
179,1029
180,930
181,984
182,961
183,1013
184,961
185,910
186,948
187,944
188,861
189,878
190,900
191,903
192,911
193,896
194,904
195,837
196,863
197,888
198,761
199,867
200,810
201,825
202,786
203,836
204,816
205,759
206,760
207,835
208,764
209,792
210,769
211,721
212,769
213,749
214,741
215,779
216,779
217,723
218,728
219,742
220,690
221,744
222,687
223,697
224,763
225,683
226,687
227,742
228,667
229,670
230,710
231,711
232,674
233,700
234,673
235,701
236,662
237,692
238,727
239,657
240,681
241,665
242,653
243,667
244,632
245,624
246,619
247,581
248,593
249,653
250,650
251,625
252,609
253,638
254,554
255,647
256,607
257,638
258,618
259,596
260,539
261,593
262,558
263,534
264,546
265,558
266,556
267,573
268,587
269,543
270,540
271,508
272,586
273,530
274,558
275,535
276,528
277,543
278,517
279,517
280,524
281,480
282,530
283,552
284,529
285,543
286,564
287,543
288,529
289,557
290,524
291,603
292,547
293,538
294,582
295,547
296,544
297,538
298,533
299,515
300,560
301,574
302,538
303,547
304,568
305,531
306,513
307,505
308,489
309,500
310,497
311,453
312,479
313,470
314,441
315,443
316,432
317,426
318,410
319,435
320,394
321,403
322,374
323,399
324,429
325,386
326,412
327,375
328,378
329,362
330,344
331,348
332,365
333,396
334,395
335,355
336,382
337,332
338,406
339,387
340,406
341,379
342,297
343,357
344,365
345,373
346,349
347,348
348,318
349,383
350,351
351,357
352,344
353,348
354,359
355,302
356,334
357,335
358,342
359,344
360,331
361,332
362,354
363,355
364,319
365,337
366,336
367,349
368,320
369,294
370,327
371,332
372,361
373,338
374,316
375,310
376,322
377,310
378,316
379,328
380,299
381,304
382,292
383,287
384,327
385,323
386,292
387,344
388,296
389,294
390,293
391,293
392,272
393,302
394,319
395,284
396,303
397,310
398,301
399,288
400,259
401,285
402,299
403,300
404,257
405,302
406,278
407,297
408,292
409,279
410,268
411,293
412,267
413,271
414,304
415,280
416,249
417,276
418,308
419,285
420,280
421,289
422,281
423,304
424,305
425,283
426,266
427,310
428,287
429,272
430,242
431,279
432,293
433,275
434,292
435,282
436,295
437,270
438,238
439,268
440,255
441,284
442,262
443,257
444,239
445,241
446,231
447,217
448,231
449,240
450,216
451,213
452,245
453,237
454,210
455,218
456,224
457,192
458,219
459,220
460,208
461,208
462,181
463,218
464,206
465,230
466,199
467,209
468,225
469,213
470,198
471,219
472,207
473,235
474,217
475,203
476,220
477,205
478,207
479,203
480,196
481,200
482,181
483,208
484,211
485,192
486,205
487,205
488,189
489,202
490,192
491,220
492,213
493,171
494,179
495,172
496,220
497,194
498,196
499,206
500,191
501,181
502,192
503,179
504,199
505,167
506,190
507,193
508,218
509,187
