canal,cuentas
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,207
14,192
15,160
16,189
17,191
18,185
19,156
20,192
21,186
22,172
23,182
24,198
25,187
26,204
27,199
28,225
29,190
30,214
31,227
32,204
33,213
34,213
35,217
36,217
37,265
38,246
39,237
40,250
41,289
42,268
43,313
44,302
45,312
46,343
47,385
48,420
49,423
50,457
51,461
52,474
53,480
54,469
55,470
56,465
57,435
58,363
59,399
60,407
61,384
62,423
63,405
64,461
65,433
66,427
67,461
68,493
69,466
70,532
71,513
72,522
73,560
74,591
75,581
76,613
77,642
78,655
79,700
80,752
81,730
82,740
83,776
84,854
85,882
86,877
87,887
88,915
89,974
90,1015
91,972
92,1010
93,1026
94,1109
95,1118
96,1127
97,1220
98,1155
99,1193
100,1213
101,1221
102,1208
103,1206
104,1286
105,1279
106,1336
107,1377
108,1294
109,1291
110,1361
111,1365
112,1264
113,1341
114,1374
115,1303
116,1255
117,1335
118,1319
119,1283
120,1334
121,1372
122,1262
123,1266
124,1348
125,1301
126,1364
127,1337
128,1218
129,1271
130,1268
131,1252
132,1254
133,1270
134,1209
135,1204
136,1212
137,1257
138,1238
139,1261
140,1127
141,1236
142,1184
143,1181
144,1190
145,1209
146,1183
147,1121
148,1154
149,1133
150,1138
151,1135
152,1123
153,1105
154,1057
155,1144
156,1115
157,1103
158,1073
159,1013
160,1036
161,1100
162,1035
163,1047
164,1050
165,1088
166,1015
167,1013
168,1056
169,1037
170,1056
171,1009
172,1079
173,1045
174,991
175,1025
176,981
177,981
178,1019
179,983
180,975
181,943
182,968
183,888
184,926
185,938
186,927
187,887
188,858
189,900
190,865
191,890
192,914
193,886
194,896
195,909
196,807
197,895
198,829
199,809
200,833
201,813
202,769
203,829
204,774
205,800
206,780
207,801
208,797
209,743
210,754
211,788
212,801
213,790
214,756
215,815
216,714
217,709
218,692
219,690
220,700
221,721
222,722
223,716
224,662
225,669
226,677
227,701
228,709
229,659
230,691
231,651
232,718
233,717
234,691
235,686
236,692
237,691
238,664
239,655
240,668
241,666
242,634
243,652
244,637
245,610
246,621
247,665
248,624
249,618
250,582
251,603
252,586
253,595
254,624
255,591
256,578
257,589
258,600
259,584
260,587
261,592
262,537
263,568
264,543
265,521
266,527
267,503
268,524
269,548
270,519
271,529
272,500
273,536
274,554
275,572
276,551
277,519
278,540
279,558
280,507
281,512
282,530
283,504
284,498
285,541
286,509
287,516
288,501
289,504
290,531
291,549
292,559
293,544
294,491
295,528
296,555
297,562
298,527
299,521
300,531
301,546
302,541
303,517
304,473
305,495
306,481
307,494
308,503
309,497
310,491
311,450
312,436
313,448
314,451
315,432
316,451
317,424
318,371
319,387
320,394
321,418
322,383
323,380
324,378
325,386
326,378
327,381
328,348
329,366
330,369
331,342
332,323
333,373
334,352
335,336
336,373
337,353
338,384
339,336
340,380
341,339
342,358
343,308
344,339
345,331
346,344
347,367
348,325
349,369
350,311
351,313
352,350
353,339
354,358
355,345
356,339
357,368
358,340
359,337
360,358
361,342
362,315
363,341
364,326
365,332
366,300
367,323
368,316
369,323
370,309
371,313
372,302
373,313
374,318
375,298
376,319
377,294
378,310
379,302
380,298
381,282
382,284
383,306
384,346
385,289
386,301
387,292
388,263
389,272
390,298
391,275
392,289
393,309
394,292
395,261
396,274
397,248
398,291
399,309
400,262
401,270
402,289
403,295
404,282
405,264
406,295
407,273
408,276
409,285
410,291
411,247
412,274
413,252
414,262
415,252
416,256
417,269
418,268
419,302
420,264
421,298
422,269
423,260
424,309
425,281
426,286
427,280
428,284
429,279
430,242
431,276
432,276
433,254
434,250
435,263
436,240
437,248
438,244
439,269
440,249
441,241
442,232
443,232
444,244
445,225
446,264
447,249
448,213
449,229
450,188
451,244
452,210
453,207
454,228
455,214
456,216
457,199
458,194
459,224
460,184
461,201
462,224
463,189
464,197
465,202
466,174
467,194
468,185
469,190
470,180
471,203
472,178
473,176
474,185
475,190
476,209
477,190
478,194
479,187
480,210
481,187
482,192
483,184
484,182
485,191
486,198
487,175
488,201
489,197
490,165
491,200
492,181
493,201
494,184
495,167
496,178
497,186
498,211
499,168
500,192
501,204
502,206
503,211
504,187
505,163
506,185
507,202
508,202
509,181
510,167
