canal,cuentas
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,204
14,184
15,206
16,160
17,205
18,198
19,205
20,178
21,180
22,181
23,172
24,187
25,186
26,169
27,204
28,187
29,196
30,208
31,221
32,207
33,236
34,201
35,222
36,237
37,245
38,258
39,253
40,247
41,254
42,253
43,294
44,299
45,331
46,332
47,371
48,389
49,459
50,488
51,547
52,532
53,555
54,571
55,529
56,477
57,452
58,445
59,430
60,380
61,384
62,378
63,392
64,392
65,396
66,385
67,378
68,402
69,467
70,428
71,498
72,507
73,516
74,551
75,582
76,586
77,577
78,626
79,660
80,631
81,686
82,708
83,709
84,819
85,817
86,766
87,848
88,868
89,947
90,967
91,964
92,994
93,987
94,1055
95,1041
96,1081
97,1089
98,1102
99,1121
100,1235
101,1121
102,1191
103,1170
104,1218
105,1183
106,1216
107,1334
108,1269
109,1319
110,1391
111,1275
112,1331
113,1339
114,1375
115,1362
116,1349
117,1307
118,1317
119,1343
120,1309
121,1256
122,1281
123,1274
124,1210
125,1306
126,1321
127,1285
128,1258
129,1342
130,1316
131,1230
132,1310
133,1246
134,1249
135,1175
136,1193
137,1210
138,1231
139,1229
140,1146
141,1164
142,1167
143,1204
144,1125
145,1241
146,1125
147,1089
148,1081
149,1157
150,1109
151,1080
152,1083
153,1092
154,1088
155,1153
156,1137
157,1126
158,1086
159,1102
160,1068
161,1066
162,1038
163,1031
164,1093
165,1033
166,1033
167,1093
168,1033
169,1083
170,1017
171,1020
172,1049
173,979
174,1005
175,992
176,952
177,965
178,1014
179,974
180,956
181,952
182,939
183,985
184,895
185,937
186,939
187,950
188,860
189,882
190,875
191,867
192,919
193,888
194,861
195,883
196,884
197,830
198,853
199,861
200,828
201,824
202,812
203,769
204,810
205,834
206,824
207,831
208,772
209,792
210,760
211,731
212,767
213,780
214,758
215,708
216,764
217,731
218,736
219,717
220,717
221,683
222,692
223,732
224,679
225,715
226,714
227,711
228,680
229,675
230,686
231,676
232,670
233,642
234,720
235,727
236,667
237,701
238,646
239,630
240,654
241,668
242,644
243,619
244,644
245,644
246,605
247,570
248,640
249,575
250,631
251,594
252,570
253,615
254,593
255,624
256,611
257,612
258,580
259,520
260,592
261,593
262,581
263,562
264,527
265,564
266,558
267,558
268,540
269,569
270,550
271,556
272,567
273,574
274,551
275,561
276,549
277,542
278,538
279,515
280,567
281,484
282,501
283,494
284,503
285,480
286,487
287,521
288,495
289,486
290,499
291,493
292,471
293,512
294,482
295,535
296,536
297,530
298,498
299,539
300,541
301,527
302,515
303,501
304,494
305,514
306,517
307,496
308,521
309,469
310,449
311,489
312,516
313,498
314,475
315,504
316,440
317,433
318,454
319,429
320,412
321,458
322,441
323,390
324,418
325,412
326,394
327,418
328,425
329,400
330,380
331,356
332,371
333,339
334,366
335,366
336,334
337,372
338,345
339,343
340,349
341,374
342,362
343,346
344,334
345,344
346,329
347,353
348,319
349,367
350,327
351,355
352,372
353,311
354,319
355,297
356,302
357,362
358,319
359,347
360,323
361,330
362,293
363,333
364,300
365,334
366,332
367,315
368,341
369,298
370,314
371,332
372,310
373,317
374,306
375,311
376,312
377,315
378,306
379,304
380,296
381,299
382,303
383,297
384,280
385,284
386,277
387,271
388,270
389,298
390,278
391,274
392,262
393,266
394,329
395,247
396,263
397,234
398,277
399,242
400,290
401,272
402,287
403,263
404,251
405,269
406,269
407,245
408,233
409,271
410,248
411,283
412,242
413,266
414,292
415,219
416,274
417,253
418,286
419,266
420,272
421,282
422,260
423,257
424,270
425,268
426,255
427,237
428,279
429,279
430,254
431,266
432,244
433,270
434,256
435,272
436,264
437,251
438,248
439,252
440,254
441,253
442,249
443,263
444,261
445,243
446,247
447,270
448,242
449,255
450,280
451,221
452,245
453,229
454,237
455,219
456,219
457,204
458,237
459,214
460,240
461,235
462,217
463,188
464,203
465,203
466,187
467,193
468,196
469,223
470,227
471,159
472,182
473,195
474,187
475,199
476,193
477,205
478,183
479,180
480,209
481,165
482,182
483,179
484,160
485,171
486,168
487,177
488,192
489,166
490,190
491,191
492,215
493,206
494,172
495,191
496,193
497,162
498,171
499,138
500,174
501,159
502,149
503,192
504,179
505,165
506,182
507,171
508,172
509,162
510,185
511,202
