canal,cuentas
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,236
14,192
15,202
16,222
17,205
18,202
19,215
20,207
21,184
22,186
23,172
24,173
25,186
26,196
27,215
28,211
29,214
30,204
31,222
32,207
33,219
34,226
35,219
36,237
37,239
38,254
39,248
40,268
41,261
42,319
43,308
44,348
45,379
46,434
47,506
48,573
49,646
50,747
51,817
52,836
53,945
54,848
55,745
56,689
57,581
58,553
59,476
60,471
61,421
62,451
63,458
64,434
65,413
66,469
67,443
68,438
69,517
70,491
71,473
72,522
73,538
74,549
75,560
76,609
77,641
78,665
79,669
80,679
81,751
82,730
83,782
84,786
85,846
86,848
87,879
88,862
89,897
90,965
91,951
92,980
93,1019
94,1014
95,1074
96,1087
97,1116
98,1102
99,1114
100,1181
101,1213
102,1202
103,1273
104,1242
105,1288
106,1226
107,1325
108,1329
109,1362
110,1376
111,1250
112,1349
113,1366
114,1356
115,1304
116,1310
117,1320
118,1316
119,1356
120,1364
121,1249
122,1280
123,1328
124,1234
125,1275
126,1280
127,1306
128,1296
129,1284
130,1297
131,1251
132,1286
133,1283
134,1212
135,1265
136,1193
137,1217
138,1190
139,1168
140,1186
141,1215
142,1213
143,1142
144,1164
145,1161
146,1164
147,1163
148,1203
149,1134
150,1167
151,1120
152,1050
153,1097
154,1128
155,1120
156,1146
157,1125
158,1066
159,1088
160,1114
161,1116
162,1077
163,1060
164,1103
165,1072
166,1061
167,1046
168,994
169,979
170,1053
171,1006
172,1033
173,1024
174,980
175,999
176,1040
177,1034
178,1026
179,997
180,970
181,938
182,973
183,940
184,897
185,928
186,925
187,935
188,915
189,907
190,917
191,944
192,902
193,877
194,853
195,883
196,841
197,841
198,855
199,858
200,787
201,876
202,892
203,848
204,837
205,844
206,795
207,746
208,808
209,797
210,791
211,741
212,730
213,780
214,756
215,753
216,749
217,769
218,715
219,730
220,686
221,707
222,790
223,708
224,738
225,685
226,728
227,687
228,698
229,692
230,709
231,690
232,670
233,676
234,678
235,693
236,683
237,681
238,635
239,676
240,655
241,664
242,681
243,646
244,629
245,652
246,674
247,643
248,680
249,644
250,584
251,628
252,612
253,619
254,653
255,638
256,622
257,632
258,597
259,559
260,585
261,616
262,570
263,572
264,588
265,594
266,564
267,552
268,560
269,535
270,536
271,548
272,556
273,549
274,570
275,530
276,538
277,590
278,542
279,523
280,535
281,547
282,527
283,537
284,536
285,533
286,516
287,533
288,486
289,562
290,550
291,542
292,542
293,538
294,542
295,552
296,553
297,548
298,474
299,552
300,506
301,534
302,544
303,534
304,532
305,515
306,531
307,560
308,522
309,526
310,534
311,502
312,493
313,503
314,485
315,449
316,449
317,461
318,426
319,461
320,410
321,396
322,416
323,429
324,404
325,403
326,408
327,374
328,406
329,383
330,390
331,375
332,402
333,355
334,357
335,370
336,349
337,361
338,323
339,367
340,379
341,348
342,336
343,349
344,386
345,379
346,341
347,338
348,364
349,365
350,345
351,339
352,368
353,360
354,332
355,383
356,345
357,351
358,357
359,341
360,356
361,357
362,369
363,333
364,313
365,324
366,349
367,320
368,330
369,334
370,316
371,328
372,349
373,339
374,333
375,320
376,320
377,320
378,347
379,329
380,309
381,316
382,311
383,300
384,296
385,268
386,335
387,291
388,301
389,298
390,288
391,295
392,264
393,305
394,312
395,281
396,274
397,290
398,297
399,302
400,271
401,276
402,270
403,258
404,269
405,268
406,271
407,252
408,279
409,267
410,274
411,276
412,268
413,275
414,269
415,263
416,288
417,262
418,285
419,293
420,291
421,299
422,297
423,301
424,280
425,281
426,279
427,283
428,298
429,272
430,287
431,293
432,283
433,263
434,268
435,295
436,275
437,266
438,280
439,261
440,255
441,257
442,273
443,254
444,273
445,250
446,257
447,236
448,247
449,264
450,252
451,267
452,224
453,235
454,238
455,234
456,249
457,197
458,219
459,265
460,213
461,225
462,238
463,235
464,186
465,217
466,211
467,220
468,219
469,237
470,201
471,212
472,208
473,198
474,200
475,209
476,204
477,215
478,182
479,185
480,189
481,217
482,201
483,241
484,206
485,196
486,223
487,195
488,215
489,228
490,208
491,222
492,164
493,207
494,195
495,206
496,196
497,220
498,204
499,215
500,204
501,190
502,198
503,207
504,210
505,212
506,174
507,188
508,195
509,178
510,216
